"Carpeta","Archivo","NombreBase","Extension","TamañoMB","Coincide","Observacion"
"ALEMANIA","Alemania.pdf","Alemania",".pdf","4,98","True","OK"
"ARABIA SAUDITA","Arabia_Saudita.pdf","Arabia_Saudita",".pdf","1,74","True","Usa guion bajo"
"ARGELIA","Argelia.pdf","Argelia",".pdf","1,83","True","OK"
"ARGENTINA","ARGENTINA.pdf","ARGENTINA",".pdf","5,62","True","OK"
"AUSTRALIA","Australia.pdf","Australia",".pdf","1,62","True","OK"
"AUSTRIA","Austria.pdf","Austria",".pdf","1,57","True","OK"
"BELGICA","Belgica.pdf","Belgica",".pdf","1,58","True","OK"
"BOSNIA","Bosnia.pdf","Bosnia",".pdf","2,17","True","OK"
"BRASIL","BRASIL.pdf","BRASIL",".pdf","4,84","True","OK"
"CABO VERDE","Cabo_Verde.pdf","Cabo_Verde",".pdf","1,91","True","Usa guion bajo"
"CANADA","CANADÁ .pdf","CANADÁ ",".pdf","18,71","True","Contiene caracteres acentuados"
"COCA COLA","COCA COLA.pdf","COCA COLA",".pdf","4,66","True","OK"
"COLOMBIA","COLOMBIA.pdf","COLOMBIA",".pdf","5,95","True","OK"
"COSTA DE MARFIL","Costa_de_Marfil.pdf","Costa_de_Marfil",".pdf","2,02","True","Usa guion bajo"
"CROACIA","Croacia.pdf","Croacia",".pdf","5,71","True","OK"
"CURAZAO","Curazao.pdf","Curazao",".pdf","1,96","True","OK"
"ECUADOR","EQUADOR.pdf","EQUADOR",".pdf","5,8","False","Nombre distinto a la carpeta"
"EGIPTO","Egipto.pdf","Egipto",".pdf","1,96","True","OK"
"ESCOCIA","Escocia.pdf","Escocia",".pdf","1,82","True","OK"
"ESPAÑA","ESPANHA.pdf","ESPANHA",".pdf","6","False","Nombre distinto a la carpeta"
"ESTADOS UNIDOS","Estados_Unidos.pdf","Estados_Unidos",".pdf","1,89","True","Usa guion bajo"
"FRANCIA","FRANÇA.pdf","FRANÇA",".pdf","6,05","False","Contiene caracteres acentuados | Nombre distinto a la carpeta"
"GHANA","Ghana.pdf","Ghana",".pdf","2,02","True","OK"
"HAITI","Haiti.pdf","Haiti",".pdf","2,04","True","OK"
"HOLANDA","HOLANDA.pdf","HOLANDA",".pdf","6,15","True","OK"
"INGLATERRA","INGLATERRA.pdf","INGLATERRA",".pdf","4,66","True","OK"
"IRAK","Irak.pdf","Irak",".pdf","1,95","True","OK"
"IRAN","Iran.pdf","Iran",".pdf","1,9","True","OK"
"JAPON","japon 2026.pdf","japon 2026",".pdf","6,71","False","Nombre distinto a la carpeta"
"JORDANIA","Jordania.pdf","Jordania",".pdf","1,8","True","OK"
"KOREA","KOREA.pdf","KOREA",".pdf","17,18","True","OK"
"MARRUECOS","Marruecos.pdf","Marruecos",".pdf","5,84","True","OK"
"MEXICO","MEXICO.pdf","MEXICO",".pdf","5,46","True","OK"
"NORUEGA","Noruega.pdf","Noruega",".pdf","4,98","True","OK"
"NUEVA ZELANDA","Nueva_Zelanda.pdf","Nueva_Zelanda",".pdf","1,9","True","Usa guion bajo"
"PANAMA","Panama.pdf","Panama",".pdf","1,93","True","OK"
"PARAGUAY","Paraguay.pdf","Paraguay",".pdf","1,97","True","OK"
"PORTUGAL","PORTUGAL.pdf","PORTUGAL",".pdf","6,01","True","OK"
"QATAR","Qatar.pdf","Qatar",".pdf","1,62","True","OK"
"RD CONGO","RD_Congo (1).pdf","RD_Congo (1)",".pdf","2,03","False","Nombre tipo copia | Usa guion bajo | Nombre distinto a la carpeta"
"REPUBLICA CHECA","REPÚBLICA CHECA.pdf","REPÚBLICA CHECA",".pdf","18,68","True","Contiene caracteres acentuados"
"SENEGAL","senegal 2026.pdf","senegal 2026",".pdf","6,3","False","Nombre distinto a la carpeta"
"SOUTH AFRICA","SOUTH AFRICA .pdf","SOUTH AFRICA ",".pdf","18,01","True","OK"
"SUECIA","Suecia.pdf","Suecia",".pdf","1,8","True","OK"
"SUIZA","Suiza.pdf","Suiza",".pdf","2,09","True","OK"
"TUNEZ","Tunez.pdf","Tunez",".pdf","1,96","True","OK"
"TURQUIA","Turquia.pdf","Turquia",".pdf","1,94","True","OK"
"URUGUAY","Uruguay.pdf","Uruguay",".pdf","4,97","True","OK"
"UZBEKISTAN","Uzbekistan.pdf","Uzbekistan",".pdf","1,98","True","OK"
